name,link
apples, https://unsplash.com/photos/yiHeWtjXuas/download?force=true&w=1920
bananas,
oranges,
lemons,
strawberries,
grapes,
avocados,
tomatoes,
cucumbers,
carrots,
potatoes,
onions,
garlic,
bell-peppers,
lettuce,
spinach,
broccoli,
mushrooms,
zucchini,
milk,
eggs,
butter,
cheddar-cheese,
yogurt,
cream,
feta-cheese,
cream-cheese,
chicken-breast,
ground-beef,
beef-steak,
lamb-chops,
sausages,
bacon,
salmon,
shrimp,
sea-bass,
squid,
bread,
baguette,
pita-bread,
croissants,
bagels,
tortillas,
sugar,
flour,
salt,
baking-powder,
honey,
peanut-butter,
yeast,
cornstarch,
rice,
spaghetti,
penne,
couscous,
quinoa,
bulgur,
noodles,
lentils,
dried-chickpeas,
canned-tomatoes,
tomato-paste,
canned-tuna,
canned-corn,
canned-beans,
olives,
pickles,
frozen-peas,
frozen-mixed-vegetables,
frozen-pizza,
ice-cream,
frozen-fries,
frozen-berries,
potato-chips,
popcorn,
chocolate-bar,
biscuits,
crackers,
mixed-nuts,
granola-bars,
bottled-water,
sparkling-water,
orange-juice,
apple-juice,
cola,
coffee,
tea,
iced-tea,
ketchup,
mayonnaise,
mustard,
soy-sauce,
hot-sauce,
pasta-sauce,
tahini,
black-pepper,
cumin,
paprika,
cinnamon,
turmeric,
oregano,
chili-powder,
bay-leaves,
ginger-powder,
cereal,
oats,
granola,
jam,
chocolate-spread,
pancake-mix,
olive-oil,
sunflower-oil,
white-vinegar,
apple-cider-vinegar,
balsamic-vinegar,
